idx	case	relation	subject	predicate	quote	context	licensed
156	DA_d2_heldout200b/529	sufficient_for	Immune reconstitution inflammatory syndrome (IRIS)	NSAIDs	paracetamol or with the use of nonsteroidal anti-inflammatory drugs (NSAIDs)	Approaches to prevent IRIS in HIV patients: [37] The management of immune reconstitution inflammatory syndrome should focus on symptom control. It is equally important that the treatment includes initiating anti-microbial agents for the underlying opportunistic infection associated with the IRIS. It is also highly recommended to continue HAART unless there is evidence of severe HAART-related toxic	
157	MCR_v2_seq100/133	sufficient_for	Benign Prostatic Hyperplasia	volume greater than 30 mL	volume greater than 30 mL	The CT scan does not sufficiently define detailed prostate anatomy or pathology. It may show a hyperdense central zone with density adjusted to around 40 to 60 Hounsfield Units (HU), and the peripheral zone may appear hypodense, with density between 10 and 25 HU.[8] Focal peripheral zone lesions with >25 HU on CT might be suspicious for prostatic malignancy.[9] Benign Prostatic Hyperplasia CT scan	
158	MCR_v2_seq100/133	required_for	Soft tissue sarcomas	imaging studies	need to be evaluated using imaging studies	Soft tissue sarcomas (STS) are a group of neoplasms that can affect individuals at the extremes of age and can originate from any location throughout the human body. These neoplasms can span a range of clinical presentations, from aggressive metastatic angiosarcomas to benign lipomas. These need to be evaluated using imaging studies and biopsy (core needle biopsy or incisional biopsy). The real ch	
159	74	required_for	Hypertrophic Cardiomyopathy	etiologic diagnosis	The etiological diagnosis of HCM in children is a fundamental step	The etiological diagnosis of HCM in children is a fundamental step	
160	74	pathognomonic_for	Restrictive cardiomyopathy	ventricular filling pattern	a ventricular filling pattern in which worsening myocardial stiffness raises ventricular pressure precipitously	a ventricular filling pattern in which worsening myocardial stiffness raises ventricular pressure precipitously	
161	DA_d2_heldout200b/529	required_for	Pneumocystis jirovecii pneumonia	failed to respond to other first-line agents	failed to respond to other first-line agents	Pentamidine isethionate is used in the treatment and prevention of Pneumocystis jirovecii pneumonia in high-risk, HIV-infected patients who meet the following criteria : Due to its various toxicities, its use is only for severe Pneumocystis jirovecii pneumonia, which has failed to respond to other first-line agents. Non-FDA approved indications :	
162	DA_d2_heldout100/261	required_for	Xanthoma	blood glucose	blood glucose and hemoglobin A1c may also be performed as indicated	cus on both locoregional and systemic disease. For the locoregional lesion, a clinical exam is often enough to make a ready diagnosis of xanthoma. Radiographs are typically normal in these patients. Ultrasound study may be performed of tendinous xanthomas, and advanced imaging in the form of magnetic resonance imaging (MRI) may be helpful to rule out differential diagnoses and for surgical plannin	
163	DA_d2_seq100/100	required_for	cutaneous angiosarcoma	negative margins	negative margins	Surgical treatment with wide margins is indicated. Even when margins are found to be negative by histologic studies, the recurrence rate and risk of metastatic disease remain increased. For this reason, a multispecialty approached is often warranted. The differential diagnosis of cutaneous angiosarcoma includes both benign and malignant lesions such as hemangioma, hemangioblastoma, squamous cell c	
164	DA_d2_heldout200b/529	pathognomonic_for	IRIS	hyper-inflammatory response	This hyper-inflammatory response is the hallmark of IRIS	Opportunistic pathogens such as Mycobacterium, fungi, viruses, and parasites can cause latent or subacute infections in HIV/AIDS patients. Due to an immunodeficient state and lack of inflammatory response, the patient can remain asymptomatic. However, after HAART initiation, an improvement in an immune-mediated inflammatory response is anticipated. This hyper-inflammatory response is the hallmark	
165	74	pathognomonic_for	Long QT syndrome	prolonged QT	prolonged QT syndrome	prolonged QT syndrome	
166	74	pathognomonic_for	Long QT Syndrome	prolongation of the QT segment	prolongation of the QT segment	prolongation of the QT segment	
167	DA_d2_heldout100/261	required_for	Sarcoidosis	exclusion of alternative diagnoses	exclusion of all alternative diagnoses	Sarcoidosis is challenging to diagnose given the broad range of presentations, many of which mimic other conditions. No single criterion providing a definite diagnosis of sarcoidosis with 100% accuracy is available. Current guidelines indicate that the diagnosis of sarcoidosis should rely on three criteria, two positive (compatible presentation and evidence of noncaseating granulomas) and one nega	
168	MCR_seq200b/291	required_for	Lichen simplex chronicus	biopsy	Thelesionsoflichensclerosusandlichensimplexchronicusmustbebiopsiedtodistinguishthemdefinitivelyfromothercausesofleukoplakia	re isolated, lichen simplex chronicus often is present at the margins of established vulvar cancer, suggesting some association with neoplastic disease. Lichen sclerosus and lichen simplex chronicus may coexist in different areas of the body in the same person, and both lesions may take the form of leukoplakia. Similar white patches or plaques also are seen in a variety of other benign dermatoses,	
169	DA_d2_seq100/100	required_for	Angiosarcoma	referral to medical and surgical oncology	Patients with angiosarcoma require referral to medical and surgical oncology	Cutaneous angiosarcoma can initially appear as a “spreading bruise,” or a raised purple-red papule, eventually developing tissue infiltration, edema, tumor fungation, ulceration, and even hemorrhage due to increasing tumor size. The second most common location is in a lymphedematous upper extremity secondary to radical mastectomy, known as the Stewart Treves tumor. Median size lesions range from 3	
170	MCR_seq200b/291	required_for	Lichen planus	systemic manifestations	Diagnosis requires careful clinical correlation with transplantation history and systemic manifestations	Oral involvement occurs in approximately 80% of patients undergoing allogeneic bone marrow transplantation. Lichenoid lesions may affect any oral mucosal site, typically developing around 6 months posttransplantation. Diagnosis requires careful clinical correlation with transplantation history and systemic manifestations. Lichen Planus Pemphigoides Lichen planus pemphigoides is a rare mucocutaneou	
171	DA_d2_heldout100/261	sufficient_for	R. equi	PCR detection	PCR is used for early detection of R. equi infection	s with a 55% positive rate using nanoscale real-time PCR detection. Transmission of S. zooepidemicus occurs through animal contact or contamination of food or utensils. PCR and ELISA detection are commonly used to diagnose S. zooepidemicus infection. Escherichia coli (E. coli) is considered a normal part of the gastrointestinal tract in horses. However, many strains of E. coli can cause diseases i	
172	DA_d2_seq100/100	required_for	Primary CNS lymphoma (PCNSL)	thallium-201 uptake	Thallium-201 is collected in tumor cells but not normal or dead cells	Primary CNS lymphoma (PCNSL): Thallium-201 is useful in distinguishing toxoplasmosis from PCNSL in HIV patients. In current practice, HIV patients with intracranial masses are treated empirically for toxoplasmosis; this increases mortality and morbidity due to delay in diagnosis and treatment. Thallium-201 is collected in tumor cells but not normal or dead cells; thus, it helps diagnose PCNSL. The	
173	DA_d2_seq100/100	pathognomonic_for	Stewart-Treves Syndrome	lymphangiosarcoma	lymphangiosarcoma (Stewart-Treves syndrome)	lymphangiosarcoma (Stewart-Treves syndrome)	
174	74	required_for	CPVT	structurally normal heart	in the presence of a structurally normal heart	in the presence of a structurally normal heart	
175	DA_d2_heldout200b/529	pathognomonic_for	Giardiasis	Giardia antigen in stool	detection of Giardia organisms, antigen, or DNA in stool	Due to the possible extraintestinal manifestations of Giardia enteritis, in addition to a thorough abdominal exam, fundoscopic, musculoskeletal, and skin exams should be conducted to rule out any retinal, arthritic, myopathic, or allergic components. A confirmed case of giardiasis is defined by the CDC as "the detection of Giardia organisms, antigen, or DNA in stool, intestinal fluid, tissue sampl	
176	74	required_for	CPVT	normal ECG	normal ECG	normal ECG	
177	DA_d2_heldout100/261	pathognomonic_for	sarcoidosis	epithelioid non-necrotizing granulomas	The histological hallmark of sarcoidosis is the presence of well-formed, compact, epithelioid, non-necrotizing granulomas	The etiology of sarcoidosis is still unclear and numerous studies have shown that both genetic and environmental factors may contribute to pathogenesis. Familial clustering in sarcoidosis has been reported in 4–17% of cases. In addition, exposure to environmental factors such as insecticides, mold, inorganic particles, agricultural chemicals, and metal processing has been reported to increase the	
178	MCR_seq200b/291	required_for	Nail psoriasis	histopathology	Histopathology is usually diagnostic	Reiter’s disease is also known as reactive arthritis. It is a systemic condition with characteristic joint, mucosal, eye, genito-urinary, skin, and nail changes. The latter are very similar to pustular psoriasis. However, they often have a more brownish tint due to a higher content of erythrocytes in the pustules. Histopathology with extensive spongiform pustules is virtually identical to pustular	
179	DA_d2_heldout100/261	required_for	Xanthoma	hemoglobin A1c	blood glucose and hemoglobin A1c may also be performed as indicated	cus on both locoregional and systemic disease. For the locoregional lesion, a clinical exam is often enough to make a ready diagnosis of xanthoma. Radiographs are typically normal in these patients. Ultrasound study may be performed of tendinous xanthomas, and advanced imaging in the form of magnetic resonance imaging (MRI) may be helpful to rule out differential diagnoses and for surgical plannin	
180	MCR_v1_seq100/114	required_for	Abscess	hemodynamic stability	hemodynamically stable	The ideal candidates for conservative management alone are women with no sign of sepsis and rupture, hemodynamically stable, and pelvic abscess greater than 8 cm on imaging. A 2009 study by Granberg et al reported that 25% of patients fail to respond to conservative treatment.[4] A localized unilocular abscess is more likely to be referred to postsurgical complications and generally requires surgi	
181	MCR_v2_seq100/133	sufficient_for	prostate cancer	PSA screening	PSA screening increases the detection of prostate cancer	Symptoms that might prompt investigation for prostate cancer include: Evaluation for localized prostate cancer most commonly involves a serum PSA level, digital rectal examination (DRE), multiparametric MRI (mpMRI), and needle prostate biopsy. It is relatively rare nowadays for localized prostate cancer to be diagnosed incidentally during treatment for BPH (eg, transurethral resection chippings) a	
182	MCR_v1_seq100/114	required_for	Abscess	size over 8 cm	surgical drainage is needed if the abscess is over 8 cm	indamycin or metronidazole with an aminoglycoside, penicillin, or a third-generation cephalosporin. Aztreonam is a substitute for aminoglycosides in patients with renal impairment. Other antibiotics with high therapeutic efficacy that may be options as single agents include extended-spectrum antibiotics (cefoxitin, cefotetan, cefotaxime, ceftizoxime), beta-lactamase inhibitors (ticarcillin-clavula	
183	DA_d2_seq100/100	required_for	Metastatic carcinoma	histological diagnosis	obtaining a histological diagnosis is crucial	Postoperative radiation therapy is relatively indicated in the case of advanced tumor and nodal stage on surgical pathology (pT3-4, pN2-3), as well as other high-risk pathologic features, including close margins (<5 mm), perineural invasion, lymphovascular space invasion, extracapsular extension, and emergent tracheostomy due to morbid tumor invasion (to reduce the risk of tumor spread into the tr	
184	MCR_seq200b/291	required_for	Lichen simplex chronicus	dermoscopy	Diagnosis of lichen simplex chronicus includes dermoscopy	Diagnosis of lichen simplex chronicus includes dermoscopy	
185	MCR_v1_seq100/114	required_for	Epidermoid inclusion cyst	complete excision	complete excision of all contents and the cystic wall	inage are often needed with the mechanical destruction of intracavitary loculations. The presence of surrounding cellulitis may necessitate the use of oral antibiotic therapy. Empiric antibiotic therapy can be done with oral agents active against methicillin-sensitive S aureus or oral agents active against methicillin-resistant S aureus in areas of high prevalence. For patients who wish to have a	
186	DA_d2_heldout100/261	sufficient_for	Dermatomyositis	disease control	many patients achieve disease control	Prognosis in dermatomyositis varies depending on disease severity, response to therapy, and presence of associated malignancy or interstitial lung disease. With early diagnosis and immunosuppressive treatment, many patients achieve disease control, although relapses are common. Long-term morbidity may result from muscle weakness, calcinosis, or systemic complications. Seborrheic Dermatitis Seborrh	
187	DA_d2_seq100/100	sufficient_for	Kaposi sarcoma	development	Up to 30% of HIV patients not taking high-activity antiretroviral therapy (HAART) will develop Kaposi sarcoma	AIDS-related Kaposi sarcoma is the second most common tumor in HIV patients with CD4 counts less than 200 cells/mm3 and is an AIDs-defining illness.[15] Up to 30% of HIV patients not taking high-activity antiretroviral therapy (HAART) will develop Kaposi sarcoma. HIV positive male homosexuals have a 5- to 10-fold increased the risk of Kaposi sarcoma.[16][6] Iatrogenic Kaposi sarcoma has a male: fe	
188	DA_d2_heldout200b/529	pathognomonic_for	Pneumocystis jirovecii pneumonia (PCP)	demonstration of organisms in bronchoalveolar lavage fluid	The demonstration of organisms in bronchoalveolar lavage fluid is almost 100% sensitive and specific for PCP	The demonstration of organisms in bronchoalveolar lavage fluid is almost 100% sensitive and specific for PCP in patients with either HIV infection or immunosuppression of other etiologies. The organisms are identified with the specific stains indicated above for lung biopsy. While expectorated sputum or throat swabs have very low sensitivity, an induced sputum sample obtained and interpreted by an	
189	74	pathognomonic_for	Brugada syndrome	type 1 Brugada ECG pattern	characteristic ECG pattern (type 1 Brugada ECG pattern	characteristic ECG pattern (type 1 Brugada ECG pattern	
190	MCR_seq200b/291	pathognomonic_for	Zinc Deficiency	response to zinc supplementation	response to a trial of supplementation	zinc deficiency occurs in patients receiving total parenteral nutrition without zinc supplementation and in premature infants fed human milk without fortification. Clinical manifestations of mild zinc deficiency include anorexia, growth faltering, and immune impairment. Moderately severe manifestations include delayed sexual maturation, rough skin, and hepatosplenomegaly. The signs of severe defic	
191	DA_d2_heldout200b/529	required_for	Pneumonia	identification of etiologic agent	identifying an etiologic agent for pneumonia is essential	While identifying an etiologic agent for pneumonia is essential for effective treatment as well as epidemiological record keeping, this is seldom seen in clinical practice. Widespread reviews have shown that a single cause of pneumonia has often been identified in less than 10% of patients presenting to the emergency department.[6] Nonetheless, the most common organisms causing pneumonia can be st	
192	DA_d2_heldout200b/529	required_for	Immune Reconstitution Inflammatory Syndrome (IRIS)	ART initiation within 30 days of anti-TB therapy	begin ART within 30 days of anti-TB therapy	Immune Reconstitution Inflammatory Syndrome Immune reconstitution inflammatory syndrome refers to either a paradoxical worsening of a known opportunistic infection or unmasking of a previously undiagnosed infection following immune recovery after ART initiation. The syndrome is characterized by overt inflammatory signs that cannot be explained simply by the natural course of the disease or by drug	
193	MCR_v2_seq100/133	required_for	Stage II to IV disease	follow-up	every 2 to 6 months	Follow-up visits are essential to detect local recurrences or metastasis. Physical examination of stage I tumors should be performed at 3- to 6-month intervals for the first 2 years and then annually.[20] Imaging studies are not generally indicated unless prompted by clinical signs and symptoms. Stage II to IV disease must be followed every 2 to 6 months for 2 to 3 years, then every 6 months for 2	
194	DA_d2_heldout100/261	pathognomonic_for	Erythema nodosum	Miescher radial microgranulomas	These microgranulomas are the histopathological hallmark of erythema nodosum	Erythema nodosum:Erythema nodosum is widely considered the most common form of panniculitis and is the prototype for septal panniculitis without vasculitis. The condition presents as an acute nodular eruption on the lower legs, possibly associated with systemic symptoms. The lesions are typically transient and can be associated with underlying infections or systemic conditions, including sarcoidos	
195	DA_d2_heldout100/261	sufficient_for	S. zooepidemicus	PCR detection	PCR and ELISA detection are commonly used to diagnose S. zooepidemicus infection	Streptococcus equi subsp. zooepidemicus (S. zooepidemicus) causes abortion and respiratory disease in horses and donkeys. It can infect a wide range of animals, including humans, monkeys, sheep, dogs, cattle, and swine, and is associated with various diseases in different species. S. zooepidemicus-induced equine ascending placentitis is a common cause of abortion in mares. Recently, Stout et al. f	
196	DA_d2_seq100/100	sufficient_for	primary non-small lung cancer	biopsy of the primary lung lesion	biopsying the primary lung lesion	For patients suspected of having primary non-small lung cancer that has metastasized, clinicians should obtain histologic confirmation from suspected metastatic sites, not the suspected primary lesion. However, if biopsy of a metastatic site is technically difficult or hazardous, biopsying the primary lung lesion or mediastinal lymph nodes should be performed using the least invasive method. Metas	
197	DA_d2_heldout200b/529	sufficient_for	invasive pulmonary aspergillosis	Aspergillus spp. in BALF culture	Aspergillus spp. in a BALF culture	Among the fungi responsible for pneumonia in immunocompromised patients are molds (e.g., Aspergillus spp. and Mucorales), Pneumocystis jirovecii, and Cryptococcus spp.. They are all airborne pathogens, and their spores can be inhaled from the air. An invasive fungal disease (IFD) in immunocompromised patients can be classified as proven, probable, or possible according to the EORTC/MSGERC criteria	
198	MCR_seq200b/291	required_for	Lichen planus	DIF	Lichen planus is evaluated by histological examination and DIF	Leukoedema is an idiopathic condition, possibly associated with local irritation. Leukoedema is associated with smoking and diabetes mellitus.[21] Stretching the oral tissue surrounding the lesion can aid in the diagnosis, as leukoedema will resolve upon introducing tension. Lichen planus is evaluated by histological examination and DIF to obtain a definitive diagnosis. The histological findings c	
199	74	pathognomonic_for	Takotsubo cardiomyopathy	left ventricular apical wall ballooning	a rare form of acute reversible left ventricular apical wall ballooning	a rare form of acute reversible left ventricular apical wall ballooning	
200	MCR_v2_seq100/133	required_for	prostate cancers	transrectal ultrasound-guided prostate tissue biopsies	transrectal ultrasound-guided (TRUS) prostate tissue biopsies	Fortunately, most prostate cancers tend to grow slowly and are low-grade with relatively low risk and limited aggressiveness.[7] There are no initial or early symptoms in most cases, but late symptoms may include fatigue due to anemia, bone pain, paralysis from spinal metastases, and renal failure from bilateral ureteral obstruction. Diagnosis is primarily based on prostate-specific antigen (PSA)	
201	MCR_v2_seq100/133	required_for	Soft tissue sarcoma in adults	unexplained lump that is increasing in size	Consider an urgent, direct access ultrasound scan to assess for soft tissue sarcoma in adults with an unexplained lump that is increasing in size.	1.11 Sarcomas Separate recommendations have been made for adults and for children and young people to reflect that there are different referral pathways. In practice, young people (aged 16 to 24) may be referred using either pathway depending on their age and local arrangements. Bone sarcoma in adults 1.11.1 Consider a suspected cancer pathway referral for adults if an X‑ray suggests the possibili	
202	DA_d2_heldout100/261	pathognomonic_for	FDBL	palmar xanthomas	palmar xanthomas	palmar xanthomas	
203	MCR_v2_seq100/133	pathognomonic_for	Solitary fibrous tumor	STAT6 nuclear expression	diffuse and strong nuclear IHC expression for STAT6 was observed in 100% cases	ular fasciitis. Prostatic stromal tumors of uncertain malignant potential (STUMP) and prostatic stromal sarcoma (PSS) can pose diagnostic problems for pathologists. STUMP exhibits haphazard fascicles of spindle cells which do not exhibit significant nuclear atypia or mitoses. However, PSS exhibits solid growth of spindle to epithelioid cells with nuclear atypia, increased mitoses and necrosis. How	
204	DA_d2_heldout200b/529	sufficient_for	Invasive pulmonary aspergillosis (IPA)	histology	a proven diagnosis can only be achieved through histology	Among the fungi responsible for pneumonia in immunocompromised patients are molds (e.g., Aspergillus spp. and Mucorales), Pneumocystis jirovecii, and Cryptococcus spp.. They are all airborne pathogens, and their spores can be inhaled from the air. An invasive fungal disease (IFD) in immunocompromised patients can be classified as proven, probable, or possible according to the EORTC/MSGERC criteria	
205	MCR_v2_seq100/133	required_for	Bone sarcoma in children and young people	unexplained bone swelling or pain	Consider a very urgent, direct access X‑ray to assess for bone sarcoma in children and young people with unexplained bone swelling or pain.	1.11 Sarcomas Separate recommendations have been made for adults and for children and young people to reflect that there are different referral pathways. In practice, young people (aged 16 to 24) may be referred using either pathway depending on their age and local arrangements. Bone sarcoma in adults 1.11.1 Consider a suspected cancer pathway referral for adults if an X‑ray suggests the possibili	
206	MCR_seq200b/291	required_for	lichen planus	biopsy with direct immunofluorescence	biopsy with direct immunofluorescence is especially useful	Consideration of drug-induced lichen planus must always be explored before starting therapy. Withdrawal of the suspected drug leading to the gradual disappearance of lesions confirms the diagnosis, although it may take some time for lesions to resolve fully.[35] Given that lichen planus may result from various exogenous agents such as viruses, drugs, or contact allergens, care should be taken to i	
207	DA_d2_heldout100/261	required_for	Tinea versicolor	potassium hydroxide preparation	potassium hydroxide preparation	Tinea versicolor may be confused with various conditions. A potassium hydroxide preparation can provide a definitive diagnosis and differentiate tinea versicolor from similar appearing conditions. The differential diagnosis includes: Seborrheic Dermatitis Seborrheic dermatitis of the trunk is frequently more erythematous and has thicker scales. Patients with seborrheic dermatitis frequently show i	
208	DA_d2_seq100/100	pathognomonic_for	Hodgkin Lymphoma (HL)	Hodgkin Reed-Sternberg (HRS) cells	presence of pathological Hodgkin Reed-Sternberg (HRS) cells	A diagnosis of lymphoma is confirmed by tissue biopsy, and commonly used methods include fine-needle aspiration, core biopsy, incision/wedge biopsy, and excisional biopsy. Excisional biopsy is considered the "gold standard" as it allows for the assessment of whole lymph node architecture. The different pathologic characteristics and histologic patterns of common lymphomas are as below. Hodgkin Lym	
209	DA_d2_seq100/100	required_for	Angiosarcoma	CT or MRI	CT or MRI of the head and neck will help to establish the extent of bone and soft tissue involvement	Cutaneous angiosarcoma can initially appear as a “spreading bruise,” or a raised purple-red papule, eventually developing tissue infiltration, edema, tumor fungation, ulceration, and even hemorrhage due to increasing tumor size. The second most common location is in a lymphedematous upper extremity secondary to radical mastectomy, known as the Stewart Treves tumor. Median size lesions range from 3	
210	MCR_v1_seq100/114	pathognomonic_for	Dermoid cyst	hair protruding from a dermoid cyst punctum	Hair protruding from a dermoid cyst punctum is pathognomonic for dermoid cysts	Hair protruding from a dermoid cyst punctum is pathognomonic for dermoid cysts	
211	DA_d2_seq100/100	required_for	Cytomegalovirus infection	PCR or serologic testing	Diagnosis of CMV infection is generally established with PCR or serologic testing	Cytomegalovirus infection is usually seen in patients with HIV/AIDS with CD4 counts of <100 cells/mm3.[12] Diagnosis of CMV infection is generally established with PCR or serologic testing.[4][11] Kaposi sarcoma is diagnosed via biopsy, and a PCR identifies the HHV-8.[4][11] Verruca Vulgaris, Oral Squamous Papillomas, Condyloma Acuminatum, and Heck's Disease	
212	74	pathognomonic_for	Brugada syndrome	coved ST-segment elevation	coved ST-segment elevation of greater than 2 mm	coved ST-segment elevation of greater than 2 mm	
213	MCR_v2_seq100/133	required_for	Soft tissue sarcomas	biopsy	need to be evaluated using... biopsy	Soft tissue sarcomas (STS) are a group of neoplasms that can affect individuals at the extremes of age and can originate from any location throughout the human body. These neoplasms can span a range of clinical presentations, from aggressive metastatic angiosarcomas to benign lipomas. These need to be evaluated using imaging studies and biopsy (core needle biopsy or incisional biopsy). The real ch	
214	DA_d2_seq100/100	sufficient_for	Kaposi sarcoma	development	Over 5% of transplant patients who develop a de novo malignancy will develop Kaposi sarcoma	AIDS-related Kaposi sarcoma is the second most common tumor in HIV patients with CD4 counts less than 200 cells/mm3 and is an AIDs-defining illness.[15] Up to 30% of HIV patients not taking high-activity antiretroviral therapy (HAART) will develop Kaposi sarcoma. HIV positive male homosexuals have a 5- to 10-fold increased the risk of Kaposi sarcoma.[16][6] Iatrogenic Kaposi sarcoma has a male: fe	
215	MCR_seq200b/291	required_for	compensated or subclinical hypothyroidism	elevated TSH	if serum TSH remains elevated at 10 mIU/L or above by 4 weeks of age, the infants should be treated	Interpretation of Thyroid Function Tests 1. Low free T4 and high TSH: These results confirm the diagnosis of primary hypothyroidism. 2. Normal free T4 (or total T4) and high TSH: These results define compensated or subclinical hypothyroidism. If serum TSH is more than 20, mIU/L, treatment with levothyroxine should be initiated. If serum TSH is mildly elevated (e.g., 6 to 20 mIU/L), clinicians may	
216	MCR_v1_seq100/114	required_for	Abscesses	needle aspiration or surgical exploration	specimen should be collected from a sterile site, preferably bypassing the normal flora and with needle aspiration or surgical exploration	In an adolescent with a sore throat, neck pain, and tachycardia out of proportion to fever, Lemierre syndrome should be considered. A neck Doppler ultrasound should be done to look for thrombophlebitis of internal jugular veins and chest x-ray to look for septic emboli. Local Infections Including Abscesses Abscesses can be limited to CNS, head, and neck region. The abdominal region can be diagnose	
217	74	required_for	Salicylate toxicity	salicylate concentrations	salicylate concentrations surpass 100 mg/dL	salicylate concentrations surpass 100 mg/dL	
218	DA_d2_heldout200b/529	required_for	CMV esophagitis	Endoscopy with biopsy	Endoscopy with biopsy is the most reliable modality	For the diagnosis of CMV GI disease, the identification of CMV in biopsy specimens using standard histopathologic or immunohistochemical stains has traditionally been considered the gold standard for confirming proven disease. Quantitative PCR methods are increasingly being evaluated and utilized on tissue specimens to support the diagnosis of tissue-invasive CMV disease.[20] Cytomegalovirus Esoph	
219	DA_d2_seq100/100	pathognomonic_for	ATLL	dense chromatin	dense chromatin with lobulated, cloverleaf-shaped nuclei	Pathognomonic morphological features of leukemic ATLL lymphocytes include dense chromatin with lobulated, cloverleaf-shaped nuclei, often referred to as flower cells.[73] Scattered blast cells may also be visible on blood film, whereas bone marrow examination typically demonstrates patchy infiltrates. Histological assessment of lymphoid tissue is essential when lymphomatous disease is suspected. I	
220	MCR_seq200b/291	required_for	Pheochromocytoma	contrast-enhanced computed tomography scan of the abdomen and pelvis	a contrast-enhanced computed tomography scan of the abdomen and pelvis should be obtained	Pheochromocytomas in patients with MEN2 generally occur in the third or fourth decade of life. Patients with MEN2 who are planning to undergo an interventional procedure, including thyroidectomy for MTC, or who may become pregnant, should undergo testing to exclude a pheochromocytoma, even if asymptomatic. A catecholamine-induced hypertensive crisis in a previously unrecognized pheochromocytoma ca	
221	MCR_v1_seq100/114	pathognomonic_for	Soft tissue tumor	histology confirmation	confirmed with histology	Ultrasonography is an excellent imaging technique for assessing any superficial soft-tissue mass. A part from previously discussed advantages (availability, cost and lack of ionizing radiations), US outstands particularly in the characterization of soft-tissue masses because of its reasonably robust diagnostic capabilities. Two prospective studies by Hung and Griffith et al. established that aroun	
222	MCR_v2_seq100/133	required_for	Prostate Cancer	prompt diagnosis	must be promptly diagnosed	An interprofessional team approach is crucial for addressing barriers to using romosozumab, such as its high cost, the requirement for monthly injections administered by healthcare providers, and managing adverse effects. This collaboration ensures that healthcare team members, including clinicians, endocrinologists, pharmacists, and nurses, work together to identify these potential obstacles and	
223	DA_d2_heldout100/261	pathognomonic_for	Erythema nodosum	Miescher radial microgranulomas	Miescher radial microgranulomas	Erythema nodosum:Erythema nodosum is widely considered the most common form of panniculitis and is the prototype for septal panniculitis without vasculitis. The condition presents as an acute nodular eruption on the lower legs, possibly associated with systemic symptoms. The lesions are typically transient and can be associated with underlying infections or systemic conditions, including sarcoidos	
224	DA_d2_heldout200b/529	pathognomonic_for	CMV colitis	CMV culture	CMV culture offers high sensitivity and specificity for diagnosing CMV colitis	Generally, caution is required when testing for blood viral load by PCR, as CMV DNA may be compartmentalized in tissue, especially in cases of CMV end-organ damage, and may be absent from the blood. In these cases, clinical utility is limited, as CMV DNA may be present in patients with active disease in tissue but is not detectable in blood. In contrast, serial PCR testing may offer greater clinic	
225	DA_d2_heldout100/261	sufficient_for	S. zooepidemicus	ELISA detection	PCR and ELISA detection are commonly used to diagnose S. zooepidemicus infection	Streptococcus equi subsp. zooepidemicus (S. zooepidemicus) causes abortion and respiratory disease in horses and donkeys. It can infect a wide range of animals, including humans, monkeys, sheep, dogs, cattle, and swine, and is associated with various diseases in different species. S. zooepidemicus-induced equine ascending placentitis is a common cause of abortion in mares. Recently, Stout et al. f	
226	MCR_v2_seq100/133	required_for	Prostate Cancer	histologically positive prostate biopsy	histologically positive prostate biopsy	Prostatic imaging with MRI is becoming increasingly important, particularly in highly suspicious cases where the initial non–MRI-guided biopsy was negative instead of saturation biopsies. Fusion-guided biopsies use the MRI image with the suspicious area highlighted as a target and superimposed it over the ultrasound image. The 2 images are matched, allowing the MRI target to be visible on the TRUS	
227	74	required_for	Cardiomyopathy	nuclear medicine imaging	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	Echocardiogram, cardiac MRI, cardiac CT, and nuclear medicine imaging are the primary imaging modalities used	
228	DA_d2_heldout200b/529	pathognomonic_for	Cytomegalovirus Gastrointestinal Disease	CMV in biopsy specimens	identification of CMV in biopsy specimens	Visualizing pathognomonic CMV inclusion bodies on histopathological examination is the gold standard for diagnosing tissue CMV disease. CMV DNA PCR can also be used to diagnose CMV disease in tissues, such as the detection of CMV in bronchoalveolar lavage fluid or lung tissue samples through virus isolation, histopathologic testing, and immunohistochemical analysis.[65] Cytomegalovirus Gastrointes	
229	MCR_seq200b/291	sufficient_for	Pheochromocytoma	elevated plasma fractionated metanephrines	elevated plasma fractionated metanephrines has a sensitivity of 97% and a specificity of 93% for diagnosing pheochromocytoma	Pheochromocytomas in patients with MEN2 generally occur in the third or fourth decade of life. Patients with MEN2 who are planning to undergo an interventional procedure, including thyroidectomy for MTC, or who may become pregnant, should undergo testing to exclude a pheochromocytoma, even if asymptomatic. A catecholamine-induced hypertensive crisis in a previously unrecognized pheochromocytoma ca	
